OrderID,ProductID,Quantity
ORD001,P002,1
ORD001,P001,1
ORD002,P002,1
ORD002,P001,1
ORD002,P003,1
ORD002,P004,1
ORD003,P001,3
ORD003,P003,1
ORD004,P001 ,1
ORD004,P002,1
ORD004,P003,1
ORD004,P004,1
ORD005,P001 ,1
ORD005,P003,1
ORD006,P003,2
ORD007,P003 ,1
ORD007,P001,1
ORD007,P002,1
ORD007,P004,1
ORD008,P003,1
ORD008,P001,1
ORD008,P002,1
ORD008,P004,1
ORD009,P003,1
ORD010,P001,7
ORD010,P002,3
ORD010,P003,1
ORD010,P004,1
ORD011,P001,1
ORD011,P002,1
ORD011,P003,2
ORD011,P004,1
ORD012,P001,1
ORD012,P002,1
ORD012,P003,1
ORD012,P004,1
ORD013,P004,2
ORD013,P003,4
ORD013,P001,2
ORD013,P002,2
ORD014,P001,1
ORD014,P002,1
ORD014,P003,2
ORD015,P001,3
ORD015,P002,1
ORD016,P003,1
ORD016,P004,1
ORD017,P004,1
ORD017,P003,1
ORD017,P002,3
ORD017,P001,3
ORD018,P003 ,1
ORD019,P003 ,1
ORD019,P001,1
ORD019,P002,1
ORD020,P003 ,1
ORD020,P001,1
ORD021,P003,1
ORD022,P004,1
ORD022,P002,1
ORD023,P001,1
ORD023,P003,1
ORD024,P001,1
ORD024,P002,1
ORD024,P003,1
ORD025,P001,1
ORD025,P002,1
ORD025,P003,1
ORD025,P004,1
ORD026,P003,2
ORD026,P001,1
ORD027,P003,3
ORD028,P003,2
ORD028,P004,1
ORD029,P003,2
ORD030,P002,2
ORD030,P001,1
ORD031,P001,1
ORD032,P002,2
ORD032,P001,1
ORD032,P004,1
ORD033,P003,1
ORD034,P003,1
ORD035,P001 ,2
ORD035,P002,2
ORD036,P002,4
ORD036,P001,2
ORD036,P003,2
ORD036,P004,3
ORD037,P003,1
ORD038,P003,2
ORD038,P004,1
ORD039,P001 ,2
ORD039,P003,1
ORD040,P001,2
ORD040,P004,2
ORD040,P003,5
ORD041,P002,2
ORD041,P001,1
ORD042,P003 ,2
ORD043,P001,2
ORD043,P002,1
ORD043,P003,1
ORD044,P001,1
ORD044,P003,2
ORD045,P004,3
ORD046,P004,3
ORD047,P004,6
ORD048,P003 ,1
ORD048,P001,1
ORD048,P002,1
ORD049,P002,1
ORD049,P004,1
ORD050,P002,1
ORD050,P003,1
ORD050,P005,1
ORD050,P006,1
ORD051,P002,1
ORD051,P003 ,2
ORD051,P006,1
ORD052,P002,1
ORD052,P003,1
ORD052,P004,2
ORD053,P002,1
ORD053,P001,1
ORD053,P004,1
ORD054,P002,2
ORD054,P004,4
ORD055,P002,5
ORD055,P001,4
ORD055,P003,3
ORD055,P004,4
ORD056,P004,2
ORD057,P002,1
ORD057,P001,1
ORD057,P003,2
ORD058,P002,1
ORD058,P004,1
ORD059,P002,2
ORD059,P006,1
ORD060,P002,1
ORD060,P004,2
ORD061,P001,2
ORD061,P003 ,2
ORD062,P002,1
ORD062,P001,1
ORD062,P003,1
ORD062,P004,1
ORD063,P002,1
ORD063,P001,1
ORD063,P004,1
ORD064,P001,2
ORD064,P004,1
ORD065,P001  ,3
ORD066,P006,2
ORD067,P001,2
ORD067,P006,1
ORD067,P005,1
ORD068,P002,2
ORD068,P001,1
ORD068,P003,1
ORD068,P004,1
ORD068,P006,1
ORD069,P004,4
ORD070,P002,3
ORD070,P001,2
ORD070,P004,1
ORD070,P005,1
ORD071,P006,1
ORD071,P005,2
ORD072,P002,1
ORD072,P001,1
ORD072,P006,2
ORD073,P003,1
ORD073,P007,1
ORD073,P006,1
ORD074,P002,1
ORD074,P001,1
ORD074,P003,1
ORD074,P006,1
ORD075,P002,2
ORD075,P001,1
ORD075,P007,1
ORD075,P006,1
ORD076,P002,1
ORD076,P003 ,1
ORD076,P004,1
ORD076,P007,1
ORD077,P006,1
ORD077,P005,1
ORD078,P002,1
ORD078,P006,1
ORD078,P004,1
ORD078,P003,2
ORD079,P001,1
ORD079,P002,2
ORD079,P003,1
ORD079,P004,1
ORD080,P001,2
ORD080,P007,2
ORD081,P001,2
ORD081,P007,1
ORD081,P006,1
ORD082,P001,2
ORD082,P005,2
ORD083,P003,1
ORD083,P005,1
ORD083,P006,1
ORD084,P001,1
ORD084,P006,1
ORD084,P003,1
ORD085,P001,2
ORD085,P007,2
ORD086,P002,1
ORD086,P001,1
ORD086,P003,1
ORD086,P005,1
ORD087,P002,2
ORD087,P001,2
ORD087,P006,1
ORD088,P001,1
ORD088,P003,1
ORD088,P005,1
ORD088,P006,1
ORD089,P002,1
ORD089,P001,1
ORD089,P004,1
ORD090,P001,1
ORD090,P003,1
ORD090,P002,1
ORD091,P003,2
ORD091,P001,1
ORD092,P003 ,1
ORD092,P006,1
ORD092,P005,1
ORD093,P003,2
ORD094,P006,1
ORD094,P003,1
ORD094,P005,1
ORD094,P007,1
ORD094,P004,1
ORD095,P002,1
ORD095,P005,1
ORD095,P006,1
ORD095,P007,1
ORD096,P002,10
ORD096,P001,5
ORD096,P003,5
ORD096,P004,3
ORD097,P003,1
ORD097,P005,1
ORD097,P006,1
ORD098,P001,5
ORD099,P002,1
ORD099,P001,1
ORD099,P005,1
ORD099,P003,1
ORD100,P002,1
ORD100,P006,1
ORD101,P002,1
ORD101,P001,1
ORD101,P005,1
ORD101,P004,1
ORD102,P003,5
