OrderID,OrderDate,CustomerID,TotalAmount
ORD001,8/24/2025,C001,240
ORD002,8/27/2025,C002,409
ORD003,8/27/2025,C003,419
ORD004,8/27/2025,C004,409
ORD005,8/28/2025,C005,226
ORD006,8/28/2025,C006,223
ORD007,8/29/2025,C007,409
ORD008,8/28/2025,C008,409
ORD009,8/30/2025,C009,149
ORD010,9/6/2025,C010,1199
ORD011,9/6/2025,C011,453
ORD012,9/6/2025,C012,409
ORD013,9/7/2025,C013,971
ORD014,9/7/2025,C014,418
ORD015,9/7/2025,C015,430
ORD016,9/8/2025,C016,214
ORD017,9/8/2025,C017,819
ORD018,9/11/2025,C018,129
ORD019,9/13/2025,C009,344
ORD020,9/13/2025,C019,234
ORD021,9/14/2025,C020,149
ORD022,9/15/2025,C021,240
ORD023,9/16/2025,C022,224
ORD024,9/18/2025,C023,325
ORD025,9/18/2025,C024,424
ORD026,9/21/2025,C025,318
ORD027,9/21/2025,C026,312
ORD028,9/21/2025,C027,303
ORD029,9/21/2025,C028,223
ORD030,9/22/2025,C029,340
ORD031,9/23/2025,C030,140
ORD032,9/24/2025,C031,420
ORD033,9/25/2025,C032,134
ORD034,9/26/2025,C033,134
ORD035,9/29/2025,C034,435
ORD036,9/30/2025,C035,1183
ORD037,10/1/2025,C036,134
ORD038,10/2/2025,C037,303
ORD039,10/3/2025,C038,324
ORD040,10/5/2025,C039,1015
ORD041,10/9/2025,C040,340
ORD042,10/12/2025,C041,223
ORD043,10/12/2025,C042,425
ORD044,10/17/2025,C043,318
ORD045,10/25/2025,C044,285
ORD046,10/25/2025,C045,285
ORD047,10/25/2025,C046,545
ORD048,10/27/2025,C047,285
ORD049,10/27/2025,C048,250
ORD050,11/1/2025,C049,344
ORD051,11/4/2025,C050,388
ORD052,11/4/2025,C051,359
ORD053,11/6/2025,C003,309
ORD054,11/8/2025,C052,520
ORD055,11/8/2025,C053,1580
ORD056,11/10/2025,C054,180
ORD057,11/15/2025,C055,429
ORD058,11/15/2025,C056,225
ORD059,11/17/2025,C004,330
ORD060,11/21/2025,C057,284
ORD061,11/21/2025,C058,369
ORD062,11/23/2025,C059,349
ORD063,11/25/2025,C060,309
ORD064,11/25/2025,C061,315
ORD065,12/3/2025,C038,330
ORD066,12/3/2025,C062,175
ORD067,12/4/2025,C063,375
ORD068,12/20/2025,C064,594
ORD069,12/20/2025,C065,365
ORD070,12/22/2025,C066,710
ORD071,12/22/2025,C067,260
ORD072,12/24/2025,C068,325
ORD073,1/3/2026,C069,229
ORD074,1/4/2026,C070,460
ORD075,1/4/2026,C071,480
ORD076,1/5/2026,C072,389
ORD077,1/5/2026,C073,185
ORD078,1/6/2026,C074,379
ORD079,1/6/2026,C075,529
ORD080,1/8/2026,C076,385
ORD081,1/14/2026,C077,375
ORD082,1/19/2026,C078,385
ORD083,1/20/2026,C079,229
ORD084,1/22/2026,C080,294
ORD085,1/22/2026,C081,385
ORD086,1/23/2026,C082,404
ORD087,1/24/2026,C083,520
ORD088,1/26/2026,C084,369
ORD089,1/26/2026,C085,345
ORD090,2/6/2026,C086,380
ORD091,2/7/2026,C087,375
ORD092,2/7/2026,C088,315
ORD093,2/7/2026,C089,274
ORD094,2/8/2026,C090,449
ORD095,2/21/2026,C091,360
ORD096,2/21/2026,C092,2450
ORD097,2/21/2026,C093,290
ORD098,2/27/2026,C094,460
ORD099,3/9/2026,C095,404
ORD100,3/15/2026,C096,210
ORD101,3/17/2026,C097,395
ORD102,3/31/2026,C026,350
